Document Name,Date,Link,Status,Arbitrators,Arbitrator Status,Case Name
Partial Dissenting Opinion of Arbitrator Raúl E. Vinuesa,,/en/document/opinion/en-foresight-luxembourg-solar-1-s-a-r-l-et-al-v-kingdom-of-spain-partial-dissenting-opinion-of-arbitrator-raul-vinuesa-wednesday-14th-november-2018#opinion_1987,Decided in favor of investor,,,"(1) Foresight Luxembourg Solar 1 S.À.R.L., (2) Foresight Luxembourg Solar 2 S.À.R.L., (3) Greentech Energy Systems A/S, (4) GWM Renewable Energy I S.P.A., (5) GWM Renewable Energy II S.P.A. v. Kingdom of Spain, SCC Case No. 2015/150"
Partial Dissenting Opinion of Nassib G. Ziadé,,/en/document/opinion/en-guris-construction-and-engineering-inc-idris-yamanturk-tevfik-yamanturk-musfik-hamdi-yamanturk-v-arab-republic-of-syria-dissenting-opinion-of-nassib-g-ziade-monday-31st-august-2020#opinion_2759,Decided in favor of investor,,,"(1) Mr Idris Yamantürk (2) Mr Tevfik Yamantürk (3) Mr Müsfik Hamdi Yamantürk (4) Güriş İnşaat ve Mühendislik Anonim Şirketi (Güris Construction and Engineering Inc) v. Syrian Arab Republic, ICC Case No. 21845/ZF/AYZ"
Dissenting Opinion of Mr. Gabriel Bottini,,/en/document/opinion/en-ds-2-s-a-peter-de-sutter-and-kristof-de-sutter-v-republic-of-madagascar-ii-dissenting-opinion-of-mr-gabriel-bottini-friday-14th-october-2022#opinion_2962,Decided in favor of investor,"Alain Pellet, Gabrielle Kaufmann-Kohler, Carole Malinvaud","Appointed by the State, President, Appointed by the investor","(DS)2, S.A., Peter de Sutter and Kristof De Sutter v. Republic of Madagascar (II), ICSID Case No. ARB/17/18"
Concurring and Dissenting Opinion of Charles N. Brower,,/en/document/opinion/en-aes-solar-and-others-pv-investors-v-spain-dissenting-opinion-of-charles-n-brower-friday-28th-february-2020#opinion_2599,Decided in favor of investor,"Gabrielle Kaufmann-Kohler, Charles N. Brower, Bernardo Sepúlveda-Amor","President, Appointed by the investor, Appointed by the State","AES Solar and others (PV Investors) v. The Kingdom of Spain, PCA Case No. 2012-14"
Concurring and Dissenting Opinion of The Honorable Charles N. Brower,,/en/document/opinion/en-aes-solar-and-others-pv-investors-v-spain-concurring-and-dissenting-opinion-of-the-honorable-charles-n-brower-tuesday-14th-october-2014#opinion_2600,Decided in favor of investor,"Gabrielle Kaufmann-Kohler, Charles N. Brower, Bernardo Sepúlveda-Amor","President, Appointed by the investor, Appointed by the State","AES Solar and others (PV Investors) v. The Kingdom of Spain, PCA Case No. 2012-14"
Dissenting Opinion of M. Otto L.O. de Witt Wijnen,,/en/document/opinion/en-african-holding-company-of-america-inc-and-societe-africaine-de-construction-au-congo-s-a-r-l-v-democratic-republic-of-the-congo-dissenting-opinion-of-m-otto-l-o-de-witt-wijnen-monday-14th-july-2008#opinion_74,Decided in favor of State,,,"African Holding Company of America, Inc. and Société Africaine de Construction au Congo S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/05/21"
Partial Dissenting Opinion of Gabriel Bottini,,/en/document/opinion/en-agroinsumos-ibero-americanos-s-l-inica-latinoamericana-s-l-proyefa-internacional-s-l-verica-atlantica-s-l-v-bolivarian-republic-of-venezuela-partial-dissenting-opinion-of-gabriel-bottini-wednesday-23rd-march-2022#opinion_2851,Pending (Annulment),"Eduardo Zuleta Jaramillo, Horacio A. Grigera Naón, Gabriel Bottini","President, Appointed by the investor, Appointed by the State","Agroinsumos Ibero-Americanos, S.L., Inica Latinoamericana, S.L., Proyefa Internacional, S.L., Verica Atlántica, S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/16/23"
Dissenting Opinion of Marc Lalonde,,/en/document/opinion/en-alapli-elektrik-b-v-v-republic-of-turkey-dissenting-opinion-of-marc-lalonde-monday-16th-july-2012#opinion_42,Decided in favor of State,"Makhdoom Ali Khan, Karl-Heinz Böckstiegel, Bernard R. Hanotiau","Member, Member, President of the Ad Hoc Committee","Alapli Elektrik B.V. v. Republic of Turkey, ICSID Case No. ARB/08/13"
Dissenting Opinion of Pascal Dévaud on the Respondent’s Application under Rule 41(5) of the ICSID Arbitration Rules,,/en/document/opinion/en-almasryia-for-operating-maintaining-touristic-construction-co-l-l-c-v-state-of-kuwait-dissenting-opinion-by-pascal-devaud-friday-1st-november-2019#opinion_2559,Pending (Annulment),"Ricardo Ramírez-Hernández, Pascal Dévaud, Rolf Knieper","President, Appointed by the investor, Appointed by the State","Almasryia for Operating & Maintaining Touristic Construction Co. L.L.C. v. State of Kuwait, ICSID Case No. ARB/18/2"
"Dissenting Opinion of José A. Martínez de Hoz, Jr.",,/en/document/opinion/en-america-movil-s-a-b-de-c-v-v-republic-of-colombia-dissenting-opinion-of-jose-a-martinez-de-hoz-friday-7th-may-2021#opinion_2755,Decided in favor of State,"Luca G. Radicati di Brozolo, José A. Martínez de Hoz, Jr., Rodrigo Oreamuno","President, Appointed by the investor, Appointed by the Appointing Authority","América Móvil S.A.B. de C.V. v. Republic of Colombia, ICSID Case No. ARB(AF)/16/5"
Dissenting Opinion of Prof. Dr. Guido Santiago Tawil,,/en/document/opinion/en-anglo-american-plc-v-bolivarian-republic-of-venezuela-dissenting-opinion-of-prof-dr-guido-santiago-tawil-friday-18th-january-2019#opinion_2091,Decided in favor of State,,,"Anglo American PLC v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)/14/1"
Dissenting Opinion of Gary Born,,/en/document/opinion/en-antaris-solar-gmbh-and-dr-michael-gode-v-the-czech-republic-dissenting-opinion-of-gary-born-wednesday-2nd-may-2018#opinion_1711,Decided in favor of State,,,"Antaris Solar GmbH and Dr. Michael Göde v. The Czech Republic, PCA Case No. 2014-01"
Dissenting Opinion by Magnus Ulriksson,,/en/document/opinion/en-ascom-group-s-a-anatolie-stati-gabriel-stati-and-terra-raf-trans-traiding-ltd-v-republic-of-kazakhstan-dissenting-opinion-by-magnus-ulriksson-friday-9th-december-2016#opinion_134,Decided in favor of investor,"David R. Haigh, Karl-Heinz Böckstiegel, Sergei Lebedev","Appointed by the investor, President, Appointed by the Arbitration Institute of the SCC","Ascom Group S.A., Anatolie Stati, Gabriel Stati and Terra Raf Trans Traiding Ltd. v. Republic of Kazakhstan (I), SCC Case No. 116/2010"
Dissenting Opinion of Judge Axel Taliercio,,/en/document/opinion/en-ascom-group-s-a-anatolie-stati-gabriel-stati-and-terra-raf-trans-traiding-ltd-v-republic-of-kazakhstan-dissenting-opinion-of-judge-axel-taliercio-wednesday-24th-january-2018#opinion_2597,Decided in favor of investor,"David R. Haigh, Karl-Heinz Böckstiegel, Sergei Lebedev","Appointed by the investor, President, Appointed by the Arbitration Institute of the SCC","Ascom Group S.A., Anatolie Stati, Gabriel Stati and Terra Raf Trans Traiding Ltd. v. Republic of Kazakhstan (I), SCC Case No. 116/2010"
Dissenting Opinion of Samuel K.B. Asante,,/en/document/opinion/en-asian-agricultural-products-ltd-aapl-v-republic-of-sri-lanka-dissenting-opinion-of-samuel-asante-friday-15th-june-1990#opinion_125,Decided in favor of investor,,,"Asian Agricultural Products Ltd. (AAPL) v. Republic of Sri Lanka, ICSID Case No. ARB/87/3"
Dissenting Opinion of Chief Justice Roberts with Justice Kennedy Joining,,/en/document/opinion/en-bg-group-plc-v-the-republic-of-argentina-dissenting-opinion-of-chief-justice-roberts-and-justice-kennedy-wednesday-5th-march-2014#opinion_278,Decided in favor of investor,"Alejandro M. Garro, Albert Jan van den Berg, Guillermo Aguilar Álvarez","Appointed by the State, Appointed by the investor, President",BG Group Plc v. The Republic of Argentina
Dissenting Opinion by Arbitrator Horacio A. Grigera Naón,,/en/document/opinion/en-baywa-r-e-renewable-energy-gmbh-and-baywa-r-e-asset-holding-gmbh-v-kingdom-of-spain-dissenting-opinion-by-arbitrator-horacio-a-grigera-naon-monday-2nd-december-2019#opinion_2577,Pending (Annulment),,,"BayWa r.e. Renewable Energy GmbH and BayWa r.e. Asset Holding GmbH v. Kingdom of Spain, ICSID Case No. ARB/15/16"
Partial Dissenting Opinion of Professor Philippe Sands QC,,/en/document/opinion/en-bear-creek-mining-corporation-v-republic-of-peru-partial-dissenting-opinion-professor-philippe-sands-qc-thursday-30th-november-2017#opinion_1802,Decided in favor of investor,,,"Bear Creek Mining Corporation v. Republic of Peru, ICSID Case No. ARB/14/21"
