Document Name,Date,Status,Arbitrators,Arbitrator Status,Case Name
Partial Dissenting Opinion of Arbitrator Raúl E. Vinuesa,,Decided in favor of investor,,,"(1) Foresight Luxembourg Solar 1 S.À.R.L., (2) Foresight Luxembourg Solar 2 S.À.R.L., (3) Greentech Energy Systems A/S, (4) GWM Renewable Energy I S.P.A., (5) GWM Renewable Energy II S.P.A. v. Kingdom of Spain, SCC Case No. 2015/150"
Partial Dissenting Opinion of Nassib G. Ziadé,,Decided in favor of investor,,,"(1) Mr Idris Yamantürk (2) Mr Tevfik Yamantürk (3) Mr Müsfik Hamdi Yamantürk (4) Güriş İnşaat ve Mühendislik Anonim Şirketi (Güris Construction and Engineering Inc) v. Syrian Arab Republic, ICC Case No. 21845/ZF/AYZ"
Dissenting Opinion of Mr. Gabriel Bottini,,Decided in favor of investor,"Alain Pellet, Gabrielle Kaufmann-Kohler, Carole Malinvaud","Appointed by the State, President, Appointed by the investor","(DS)2, S.A., Peter de Sutter and Kristof De Sutter v. Republic of Madagascar (II), ICSID Case No. ARB/17/18"
Concurring and Dissenting Opinion of Charles N. Brower,,Decided in favor of investor,"Gabrielle Kaufmann-Kohler, Charles N. Brower, Bernardo Sepúlveda-Amor","President, Appointed by the investor, Appointed by the State","AES Solar and others (PV Investors) v. The Kingdom of Spain, PCA Case No. 2012-14"
Concurring and Dissenting Opinion of The Honorable Charles N. Brower,,Decided in favor of investor,"Gabrielle Kaufmann-Kohler, Charles N. Brower, Bernardo Sepúlveda-Amor","President, Appointed by the investor, Appointed by the State","AES Solar and others (PV Investors) v. The Kingdom of Spain, PCA Case No. 2012-14"
Dissenting Opinion of M. Otto L.O. de Witt Wijnen,,Decided in favor of State,,,"African Holding Company of America, Inc. and Société Africaine de Construction au Congo S.A.R.L. v. Democratic Republic of the Congo, ICSID Case No. ARB/05/21"
Partial Dissenting Opinion of Gabriel Bottini,,Pending (Annulment),"Eduardo Zuleta Jaramillo, Horacio A. Grigera Naón, Gabriel Bottini","President, Appointed by the investor, Appointed by the State","Agroinsumos Ibero-Americanos, S.L., Inica Latinoamericana, S.L., Proyefa Internacional, S.L., Verica Atlántica, S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/16/23"
Dissenting Opinion of Marc Lalonde,,Decided in favor of State,"Makhdoom Ali Khan, Karl-Heinz Böckstiegel, Bernard R. Hanotiau","Member, Member, President of the Ad Hoc Committee","Alapli Elektrik B.V. v. Republic of Turkey, ICSID Case No. ARB/08/13"
Dissenting Opinion of Pascal Dévaud on the Respondent’s Application under Rule 41(5) of the ICSID Arbitration Rules,,Pending (Annulment),"Ricardo Ramírez-Hernández, Pascal Dévaud, Rolf Knieper","President, Appointed by the investor, Appointed by the State","Almasryia for Operating & Maintaining Touristic Construction Co. L.L.C. v. State of Kuwait, ICSID Case No. ARB/18/2"
"Dissenting Opinion of José A. Martínez de Hoz, Jr.",,Decided in favor of State,"Luca G. Radicati di Brozolo, José A. Martínez de Hoz, Jr., Rodrigo Oreamuno","President, Appointed by the investor, Appointed by the Appointing Authority","América Móvil S.A.B. de C.V. v. Republic of Colombia, ICSID Case No. ARB(AF)/16/5"
Dissenting Opinion of Prof. Dr. Guido Santiago Tawil,,Decided in favor of State,,,"Anglo American PLC v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)/14/1"
Dissenting Opinion of Gary Born,,Decided in favor of State,,,"Antaris Solar GmbH and Dr. Michael Göde v. The Czech Republic, PCA Case No. 2014-01"
Dissenting Opinion by Magnus Ulriksson,,Decided in favor of investor,"David R. Haigh, Karl-Heinz Böckstiegel, Sergei Lebedev","Appointed by the investor, President, Appointed by the Arbitration Institute of the SCC","Ascom Group S.A., Anatolie Stati, Gabriel Stati and Terra Raf Trans Traiding Ltd. v. Republic of Kazakhstan (I), SCC Case No. 116/2010"
