file_name,paragraph
Railroad Development Corporation v. Republic of Guatemala_Second Decision on Objections to Jurisdiction,"86. Claimant explains that its claim of breach of fair and equitable treatment is based upon the Lesivo Resolution and not Respondent's failure to remove squatters. According to Claimant, the Memorial on the Merits clearly states that “the Government's action in issuing the Lesivo Resolution, in violation of the standard of fair and equitable treatment, served to undermine RDC’s investment-backed expectations, one of which was RDC’s_ reasonable expectation that the Government would protect the railway against squatters.”*”"
Hulley Enterprises Limited (Cyprus) v. The Russian Federation_Final Award,"Second, Claimants have failed to establish that the measures complained of frustrated distinct, reasonable, investment-backed expectations, an important element in ing whether regulatory measures amount to “measures having effect equivalent to nationalization or expropriation.” Claimants had no right or legitimate expectation to operate Yukos in violation of Russian law, and no right or legitimate expectation that Respondent would exempt Yukos from the tax enforcement and collection measures about which Claimants complain if Yukos failed to pay its taxes and obstructed the collection of taxes due."
Bear Creek Mining Corporation v. Republic of Peru_Award-En,"(ii) the extent to which the measure or series of measures interferes with distinct, reasonable investment-backed expectations, and"
Bear Creek Mining Corporation v. Republic of Peru_Award-En,"4. In the case of an alleged indirect expropriation, Annex 812.1 provides guidance on how to distinguish between whether an indirect expropriation and bona fide regulation that does not amount to an expropriation. Whether a measure constitutes a nondiscriminatory, regulatory measure designed to protect public welfare — as opposed to an indirect expropriation — requires a case-by-case, fact based inquiry that considers various factors. The Parties have articulated certain of these factors in Annex 812.1 to guide the Tribunal, including the economic impact of the measure or series of measures, the extent to which the measure or series of measures interferes with distinct, reasonable investment-backed expectations, and the character of the measure or series of measures (for example if the measure is general in nature as opposed to targeting a particular investment). None of these factors will be determinative on its own. Together, they must be weighed along with any other relevant factors."
Bear Creek Mining Corporation v. Republic of Peru_Award-En,"investor’s distinct, reasonable investment-backed expectations. Claimant purchased seven mining concessions on the basis of Supreme Decree 083. Claimant invested tens of millions of dollars in"
Bear Creek Mining Corporation v. Republic of Peru_Award-En,". in application of subsection (ii), Supreme Decree 032 interferes with Claimant’s distinct, reasonable investment-backed expectations,"
Compañiá de Aguas del Aconquija SA and Vivendi Universal SA v. Argentine Republic_Award-En,"118 providing security for reasonable, investment-backed expectations.” Claimants’"
Compañiá de Aguas del Aconquija SA and Vivendi Universal SA v. Argentine Republic_Award-En,"In Claimants’ submission, the Province not only failed to protect, but itself directly undermined, Claimants’ legitimate, investment-backed, expectations with"
Mobil Investments Canada and Murphy Oil Corporation v. Canada_Decision on Liability and on Principles of Quantum (redacted),"The tribunal found, on the facts, that “no specific assurances were made to induce Claimant’s ‘reasonable and justifiable expectations’ ,”!*4 so the tribunal “need not determine the level, or characteristics, of state action in contradiction of those expectations that would be necessary to constitute a violation of Article 1105.”'° The finding is of considerable relevance to the present case. In that case, “a reasoned, complicated legal opinion on an issue of first impression (...) changed a decades-old rule and century-old regime upon which Claimant had based reasonable expectations.” !7° The issue for the tribunal therefore was “whether a lengthy, reasoned legal opinion violates customary international law because it changes, in an arguably dramatic way, a previous law or prior legal interpretation upon which an investor has based its reasonable, investment-backed expectations.”!?7 The tribunal ruled that it did not; such a change would only give rise to a violation of Article 1105 if it occasioned “a gross denial of justice, manifest arbitrariness, blatant unfairness, a complete lack of due"
Mobil Investments Canada and Murphy Oil Corporation v. Canada_Decision on Liability and on Principles of Quantum (redacted),"process, evident discrimination, or a manifest lack of reasons, it did not, because it was not arbitrary, did not exhibit a manifest lack of reasons, did not exhibit blatant unfairness or evident discrimination to this particular investor, and did not violate Article 1105 based on the unsettling of reasonable, investment-backed expectation, because it was not based on at least a quasi-contractual relationship between the State and the investor, whereby the State has purposely and specifically induced the investment, and did"
